id,title,releaseDate,rating,genres,description,platforms,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,platform_metascores,developer,publisher
1300001290,The Legend of Zelda: Ocarina of Time,1998-11-23,E,Open-World Action,"As a young boy, Link is tricked by Ganondorf, the King of the Gerudo Thieves. The evil human uses Link to gain access to the Sacred Realm, where he places his tainted hands on Triforce and transforms the beautiful Hyrulean landscape into a barren wasteland. Link is determined to fix the problems he helped to create, so with the help of Rauru he travels through time gathering the powers of the Seven Sages.",Nintendo 64,99.0,22.0,Universal acclaim,91.0,10611,Universal acclaim,99,Nintendo,"Nintendo,Gradiente"
1300001928,SoulCalibur,1999-09-08,T,3D Fighting,"[Xbox Live Arcade]  Soulcalibur, the highest Metascoring game on the Dreamcast, has returned to the next generation. Sharpen your blades as you relive old grudges against classic adversaries in new high definition graphics. Prove your mettle against the world with a variety of leaderboards spanning every character and mode, or challenge a friend in local-play Versus mode. Nineteen playable characters: All of your favorite fighters are back including Kilik, Ivy, Siegfried, Edge Master, Nightmare, and many more. Eight modes of play: Try the different game modes including Story, Versus, and even Museum Mode that allows players to view artwork, character models, and animations. Leaderboards galore: Compare stats in sixty leaderboards spanning across each character and mode. High definition support: Soulcalibur has been given a whole new coat of beautiful paint to support HD resolutions up to 1080p. [Namco Bandai Games]","Dreamcast,iOS (iPhone/iPad),Xbox 360",98.0,24.0,Universal acclaim,78.0,605,Generally favorable,"98,73,79",Namco,Namco
1300027043,Grand Theft Auto IV,2008-04-29,M,Open-World Action,"[Metacritic's 2008 PS3 Game of the Year; Also known as ""GTA IV""]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It's the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don't. [Rockstar Games]","PlayStation 3,Xbox 360,PC",98.0,86.0,Universal acclaim,83.0,4781,Generally favorable,"98,98,90",Rockstar North,"Rockstar Games,Capcom"
1300019237,Super Mario Galaxy,2007-11-12,E,3D Platformer,"[Metacritic's 2007 Wii Game of the Year] The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games, defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach, Mario gives chase, exploring bizarre planets all across the galaxy. Mario, Peach and enemies new and old are here. Players run, jump and battle enemies as they explore all the planets in the galaxy. Since this game makes full use of all the features of the Wii Remote, players have to do all kinds of things to succeed: pressing buttons, swinging the Wii Remote and the Nunchuk, and even pointing at and dragging things with the pointer. Since he's in space, Mario can perform mind-bending jumps unlike anything he's done before. He'll also have a wealth of new moves that are all based around tilting, pointing and shaking the Wii Remote. Shake, tilt and point! Mario takes advantage of all the unique aspects of the Wii Remote and Nunchuk controller, unleashing new moves as players shake the controller and even point at and drag items with the pointer. [Nintendo]",Wii,97.0,73.0,Universal acclaim,91.0,4181,Universal acclaim,97,Nintendo,Nintendo
1300044129,Super Mario Galaxy 2,2010-05-23,E,3D Platformer,"Super Mario Galaxy 2, the sequel to the galaxy-hopping original game, includes the gravity-defying, physics-based exploration from the first game, but is loaded with entirely new galaxies and features to challenge players. On some stages, Mario can pair up with his dinosaur buddy Yoshi and use his tongue to grab items and spit them back at enemies. Players can also have fun with new items such as a drill that lets our hero tunnel through solid rock. [Nintendo]",Wii,97.0,87.0,Universal acclaim,90.0,2933,Universal acclaim,97,Nintendo EAD Tokyo ,"Nintendo,iQue"
1300108776,The Legend of Zelda: Breath of the Wild,2017-03-03,E10+,Open-World Action,"Ignore everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this stunning open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure. Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier. [Nintendo]","Wii U,Nintendo Switch",97.0,109.0,Universal acclaim,89.0,24216,Generally favorable,"96,97",Nintendo,Nintendo
1300003547,Tony Hawk's Pro Skater 3,2001-10-30,T,Skating,Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes. [Activision],"PlayStation 2,GameCube,Xbox,PlayStation,PC,Game Boy Advance",97.0,34.0,Universal acclaim,77.0,610,Generally favorable,"97,91,93,87,90,90",Neversoft Entertainment,"Activision,Success"
1300001620,Perfect Dark (2000),2000-05-22,M,FPS,"[Xbox Live Arcade]  Agent Joanna Dark hit the ground running in Perfect Dark, an epic tale of galactic conspiracies in 2023 America. Now this classic shooter comes to Xbox LIVE Arcade, rendered in greater definition and detail and sporting a silkier framerate than ever before. Fire up your Farsight and prepare for assignment—the Dark returns this winter. CLassic action: Play the original full game beautifully restored and back in full HD, 1080p at 60 frames per second! All the original game features are included plus new Xbox LIVE ones. [Xbox.com]","Nintendo 64,Xbox 360",97.0,30.0,Universal acclaim,85.0,577,Generally favorable,"97,79",Rare Ltd.,"Rare Ltd.,Xbox Game Studios,Nintendo"
1300461445,Red Dead Redemption 2,2018-10-26,M,Open-World Action,"Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar]","Xbox One,PlayStation 4,PC",97.0,99.0,Universal acclaim,89.0,29237,Generally favorable,"97,97,93",Rockstar Games,Rockstar Games
1300110124,Grand Theft Auto V,2014-11-18,M,Open-World Action,"Los Santos is a v ast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success:  Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Quickly running out of options, the crew risks it all in a sequence of daring and dangerous heists that could set them up for life.","PlayStation 3,Xbox 360,PlayStation 4,Xbox One,PC,PlayStation 5,Xbox Series X",97.0,66.0,Universal acclaim,85.0,12887,Generally favorable,"97,97,97,97,96,81,79",Rockstar North,"Rockstar Games,Take-Two Interactive"
